Column2,Year Level,Block No.,Curriculum Type,HOME ADDRESS: Please enter the name of your PROVINCE,GENDER,birthday,civil_status,No_of_siblings,place_in_the_family,Island Location (Where are you NOW?),Are you a TES Beneficiary?,Do you own a laptop?,Please skip this question if you own a laptop.  Do you  have someone that lets you borrow his/her laptop?,Is you MOBILE PHONE touch screen?,How is your internet connection in your place?,1. How did you  feel when you learned that instruction would no longer be face-to-face? Please check all that apply.,2. Why did you feel that way?,3. What were your expectations about Blended Learning before it started. Please check all that apply.,"1.	How satisfied are you with the learning you get from our blended learning mode of instruction during the 1st semester? ","2.	How satisfied are you with the assessments given (exercises, assignments, quizzes) to gauge or measure your learning of the lessons?",3. Did ALL your subject teachers provide you with MODULES last semester?,4. How clear were the presentation of your lessons in your modules last semester? Was it easy to follow?,"5.	Which do you prefer MORE in studying? ","6.	At AVERAGE, how many days a week were you required to be online in a particular subject?","7.	Did ALL your subject teachers provide you with videos, powerpoint presentations, and other learning tools that reinforce learning last semester? ","8.	How helpful were these videos, powerpoint presentations, and other learning tools in enhancing your understanding of your lessons? ","9.	Did ALL your subject teachers provide you feedbacks on your performance of exercises, assignments or quizzes?","10.	At average, how long did it take your teachers to provide you with feedback on your exercises, assignments or quizzes? ","11.	Did ALL your subject teachers last semester gave time to ask you if you have questions about the lesson and answer you back?",12. Which of the 5 areas below is your TOP 1 for IMPROVEMENT?,13. Which of the 5 areas below is your 2nd PRIORITY for IMPROVEMENT?,14. Which of the 5 areas below is your 3rd PRIORITY for IMPROVEMENT?,15. Which of the 5 areas below is your 4th PRIORITY for IMPROVEMENT?
439,3rd year,2,Old,Romblon,Male,3/23/1997,Single,3,3rd,Tablas Island,No,No,No,Yes,4,Did not feel anything,None,A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,1,1,No,1,A SOFTCOPY of your module,4,Yes,1,No,1,No,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
440,3rd year,2,Old,Romblon,Female,9/8/1996,Single,4,1st,Tablas Island,No,Yes,,Yes,2,Sad / Disappointed;Worried / Nervous,"Worried of learning less. And not be able to comply on time due to circumstances such as having poor internet connection, lack of budget, etc.. ","Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",2,3,Yes,2,A SOFTCOPY of your module,4,Yes,4,Yes,4,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
441,2nd Year,2,New,Romblon,Male,1/18/2000,Single,5,5th,"Romblon, Romblon",No,No,Yes,Yes,1,Happy / Excited,"Because, for me personally i would like for it to stay blended because it can give me a lot of time with my family and to be able to help with their daily works especially in the house. ",Entirely no Face-to-Face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger,5,5,Yes,4,A SOFTCOPY of your module,2,Yes,5,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
442,1st year,3,New,Romblon,Female,10/9/2001,Single,5,2nd,Tablas Island,No,Yes,,Yes,1,Sad / Disappointed, Because in face to face there are teachers with a high knowledge who can teach and share their ideas to us.Also in face to face we can focus more in studies than modular or o line class. ,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",3,3,Yes,1,A SOFTCOPY of your module,5,No,3,No,5,No,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Faculty & Student Online Discussion of Lesson
443,1st year,5,New,Romblon,Male,1/22/2002,Single,5,1st,Tablas Island,No,No,Yes,Yes,3,Happy / Excited,Nothing,Entirely no Face-to-Face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students,2,3,Yes,3,A SOFTCOPY of your module,5,Yes,5,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
445,4th year,2,Old,Romblon,Female,12/10/1996,Single,5,5th,Tablas Island,No,Yes,Yes,Yes,3,Sad / Disappointed,I dont know,Entirely no Face-to-Face,4,4,Yes,4,A SOFTCOPY of your module,4,Yes,4,Yes,4,Yes,Module Content and Presentation,Module Content and Presentation,Module Content and Presentation,Module Content and Presentation
446,1st year,5,Old,Romblon,Female,4/12/2021,Single,4,4th,Tablas Island,No,No,No,No,3,Sad / Disappointed;Worried / Nervous,"Because it's very hard for us to learned specially we don't have a mobile gadgets to use for our to do our exercise, quiz, exam etc. and also of low access of internet.","Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Assessment of student performance will not be that reliable;Learning would not be that effective",3,3,Yes,3,A HARCOPY of your module,3,Yes,4,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
447,1st year,6,New,Romblon,Male,6/21/2000,Single,5,1st,Tablas Island,No,No,No,Yes,3,Happy / Excited;Worried / Nervous,"Because, I didn't know what I'm doing. ",Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Learning would not be that effective,3,4,Yes,4,A SOFTCOPY of your module,5,Yes,5,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
448,1st year,1,New,Romblon,Female,9/21/2001,Single,6,3rd,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,It is because how should I learned it if no one is instructing me?,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,4,Yes,3,A HARCOPY of your module,3,Yes,5,Yes,3,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
449,2nd Year,3,New,Romblon,Male,10/9/2000,Single,4,4th,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,I like face to face,Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity,3,3,Yes,4,A HARCOPY of your module,2,No,3,No,2,Yes,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
450,1st year,7,New,Romblon,Male,4/15/2002,Single,5,4th,Tablas Island,Yes,Yes,No,Yes,1,Did not feel anything,I dont know why,Entirely no Face-to-Face;Module is the primary tool in learning;Internet connection is a necessity;Student and teacher interactions would be very limited,3,3,Yes,4,A SOFTCOPY of your module,5,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
451,4th year,1,Old,Romblon,Male,0096-12-20,Single,7,7th,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Lack of Resources,Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,No,4,Yes,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
452,2nd Year,3,Old,Romblon,Female,5/16/2001,Single,6,4th,Tablas Island,Yes,No,Yes,Yes,2,Sad / Disappointed, ,Module is the primary tool in learning;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,4,Yes,3,A SOFTCOPY of your module,3,Yes,5,Yes,2,Yes,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
453,2nd Year,3,New,Romblon,Male,8/28/2000,Single,1,1sy,Tablas Island,No,No,No,Yes,1,Worried / Nervous,Kasi po wala pong internet connection sa amin,Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited,3,3,Yes,2,A HARCOPY of your module,3,Yes,4,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
454,1st year,3,New,Romblon,Female,3/7/2001,Single,2,1st,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed;Worried / Nervous,Because I think it will be difficult for me to learn the subject,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students",3,4,Yes,4,A HARCOPY of your module,3,Yes,4,Yes,3,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
456,1st year,3,New,Romblon,Male,10/9/2002,Single,3,1st,Tablas Island,No,No,No,Yes,2,Worried / Nervous,i am very nervous of my grades,Internet connection is a necessity,3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
458,1st year,6,New,Romblon,Male,6/30/2002,Single,1,1st,Tablas Island,No,No,No,Yes,3,Happy / Excited,None,Entirely no Face-to-Face,3,1,No,2,A SOFTCOPY of your module,1,Yes,2,Yes,2,Yes,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
459,1st year,3,New,Romblon,Male,6/3/2002,Single,2,2nd,Tablas Island,No,No,No,Yes,2,Worried / Nervous,Because I did not have computer that is needed in the course I had take ,Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective,2,2,Yes,3,A HARCOPY of your module,5,Yes,2,Yes,3,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
460,1st year,7,New,Romblon,Female,12/30/2000,Single,5, ,Tablas Island,No,No,Yes,Yes,3,Worried / Nervous,Because it will not so sure if it is secured when we will have face to face because of pandemic situation. ,Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited,3,2,Yes,3,A HARCOPY of your module,3,No,4,No,2,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
464,1st year,7,Old,Romblon,Male,7/4/2001,Single,3,3rd,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,because I'm not used to it ,"Exercises, quizzes, and major examinations will be done online or face-to-face",4,5,Yes,4,A SOFTCOPY of your module,2,Yes,5,Yes,5,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
466,1st year,7,New,Romblon,Female,9/26/2001,Single,3,1st,Tablas Island,Yes,Yes,,Yes,3,Sad / Disappointed,Because I want to have face to face classes in order to understand well the lessons,Module is the primary tool in learning;A hardcopy of the module would be distributed to all students,3,3,Yes,3,A HARCOPY of your module,5,No,2,No,2,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
469,4th year,1,Old,Romblon,Female,5/14/1998,Single,2,1st,Tablas Island,No,Yes,Yes,Yes,3,Sad / Disappointed;Worried / Nervous,Because we can't focus,Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective,3,3,No,3,A SOFTCOPY of your module,2,Yes,3,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
470,4th year,2,Old,Romblon,Female,7/31/1997,Single,4,1st,Tablas Island,No,No,Yes,Yes,4,Sad / Disappointed,Because not all students are capable to adjust immediately to this system of learning,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,4,Yes,4,A SOFTCOPY of your module,4,Yes,4,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
